s,a,r,s'
12,1,-8,22
41,1,7,51
39,4,-5,40
76,3,8,75
80,1,-3,90
78,2,-4,68
31,4,-8,32
92,4,5,93
34,2,-7,24
72,4,2,73
60,3,1,59
47,1,7,57
73,1,-1,83
69,4,-6,70
92,2,4,82
86,2,-5,76
18,4,5,19
69,3,-4,68
34,2,-7,24
46,3,0,45
84,2,0,74
45,1,1,55
28,1,3,38
68,4,3,69
81,2,-8,71
97,2,-2,87
24,1,-6,34
50,1,6,60
47,3,2,46
19,3,4,18
34,1,8,44
90,2,-9,80
63,2,8,53
54,1,-10,64
11,4,-1,12
13,1,4,23
47,1,7,57
16,4,-4,17
42,2,-8,32
12,4,-1,13
31,1,2,41
84,4,-8,85
93,4,3,94
39,2,-9,29
99,4,-6,100
58,2,-4,48
37,3,6,36
44,4,0,45
95,4,-1,96
53,2,5,43
90,2,-9,80
19,2,5,9
89,1,5,99
71,2,1,61
76,3,8,75
96,3,-4,95
100,2,-3,90
23,4,-7,24
44,2,-6,34
12,1,-8,22
87,3,2,86
19,1,-9,29
70,2,6,60
95,2,-8,85
46,4,1,47
17,3,-7,16
89,1,5,99
54,2,8,44
25,1,3,35
67,1,5,77
8,1,4,18
53,1,7,63
50,3,-8,49
88,3,-2,87
79,2,3,69
55,2,0,45
19,1,-9,29
95,2,-8,85
34,2,-7,24
27,3,-7,26
8,1,4,18
82,1,1,92
38,1,-4,48
1,4,-5,2
32,4,3,33
15,4,-7,16
96,2,2,86
8,1,4,18
25,2,-2,15
86,3,-8,85
17,1,-7,27
14,3,-1,13
72,1,4,82
98,2,1,88
25,2,-2,15
40,1,6,50
31,2,1,21
19,1,-9,29
66,4,8,67
34,3,3,33
38,2,-7,28
63,1,2,73
3,3,-5,2
75,3,0,74
61,4,7,62
12,3,-8,11
53,3,-3,52
33,2,4,23
16,1,-7,26
12,1,-8,22
1,4,-5,2
89,3,1,88
24,3,4,23
96,3,-4,95
60,2,6,50
35,1,0,45
31,4,-8,32
44,3,5,43
84,3,-1,83
68,1,-1,78
46,3,0,45
84,3,-1,83
73,2,7,63
82,2,9,72
19,3,4,18
5,1,-2,15
77,1,-2,87
33,1,5,43
4,3,-10,3
60,2,6,50
98,3,3,97
77,3,-5,76
99,4,-6,100
3,3,-5,2
86,2,-5,76
75,4,-5,76
67,2,7,57
4,4,8,5
90,3,2,89
48,1,1,58
33,4,-6,34
25,1,3,35
36,2,-7,26
77,2,8,67
79,4,-9,80
99,3,3,98
80,1,-3,90
25,3,-7,24
55,4,0,56
65,3,-10,64
81,2,-8,71
25,1,3,35
54,4,1,55
40,2,-10,30
84,1,3,94
54,4,1,55
13,3,-1,12
10,1,5,20
80,1,-3,90
11,4,-1,12
86,1,-1,96
17,4,4,18
21,1,6,31
27,3,-7,26
26,3,5,25
79,3,-1,78
29,1,9,39
93,2,-1,83
15,4,-7,16
43,1,8,53
74,3,2,73
53,1,7,63
34,4,3,35
50,1,6,60
68,3,8,67
95,3,3,94
29,2,5,19
18,1,-7,28
85,4,2,86
98,3,3,97
47,4,-4,48
24,1,-6,34
6,3,8,5
27,4,-7,28
100,3,5,99
88,2,-1,78
79,2,3,69
77,3,-5,76
19,3,4,18
23,4,-7,24
26,3,5,25
54,3,8,53
80,3,5,79
61,4,7,62
73,4,0,74
55,3,8,54
81,4,4,82
56,1,-3,66
5,4,5,6
74,2,-10,64
57,1,8,67
3,3,-5,2
87,2,5,77
14,4,-2,15
73,3,9,72
56,4,7,57
95,2,-8,85
94,3,5,93
66,4,8,67
28,1,3,38
7,1,-4,17
13,2,-10,3
53,2,5,43
93,2,-1,83
78,2,-4,68
75,4,-5,76
26,3,5,25
19,3,4,18
90,3,2,89
21,1,6,31
90,1,-6,100
55,4,0,56
68,2,1,58
12,2,-5,2
51,4,-3,52
45,2,3,35
56,1,-3,66
70,2,6,60
64,1,0,74
91,4,1,92
94,4,-4,95
22,3,1,21
99,4,-6,100
35,2,5,25
34,1,8,44
23,4,-7,24
20,2,-9,10
60,2,6,50
39,4,-5,40
53,1,7,63
56,4,7,57
72,2,7,62
40,2,-10,30
82,3,-8,81
26,4,-7,27
56,4,7,57
16,2,5,6
44,3,5,43
89,4,-3,90
33,3,-8,32
63,1,2,73
45,2,3,35
13,4,3,14
81,1,-2,91
45,1,1,55
12,2,-5,2
34,4,3,35
82,4,-1,83
31,2,1,21
65,2,1,55
21,1,6,31
92,4,5,93
43,1,8,53
8,3,-3,7
74,1,-8,84
99,2,2,89
100,3,5,99
86,4,-2,87
6,4,-3,7
98,3,3,97
68,3,8,67
47,4,-4,48
58,3,7,57
50,3,-8,49
15,2,8,5
48,3,1,47
97,3,-1,96
23,2,-1,13
21,2,-8,11
84,4,-8,85
85,2,8,75
42,3,2,41
74,3,2,73
51,1,1,61
50,3,-8,49
82,4,-1,83
26,4,-7,27
79,3,-1,78
78,1,1,88
89,2,5,79
7,4,-5,8
32,4,3,33
56,3,1,55
69,1,5,79
44,2,-6,34
85,3,-8,84
30,1,-5,40
31,2,1,21
75,3,0,74
66,3,-10,65
74,2,-10,64
41,4,4,42
47,3,2,46
20,1,-10,30
93,2,-1,83
88,2,-1,78
96,4,3,97
89,3,1,88
55,4,0,56
24,3,4,23
57,4,1,58
46,1,0,56
56,4,7,57
18,1,-7,28
46,3,0,45
100,2,-3,90
1,1,-8,11
14,1,-7,24
31,2,1,21
71,1,-8,81
42,2,-8,32
34,1,8,44
83,1,5,93
19,1,-9,29
59,2,-8,49
13,1,4,23
77,2,8,67
11,4,-1,12
27,1,-1,37
15,3,3,14
3,4,0,4
9,1,5,19
72,3,-8,71
100,3,5,99
97,3,-1,96
83,1,5,93
86,3,-8,85
43,2,3,33
65,2,1,55
30,2,5,20
92,2,4,82
85,1,-4,95
82,1,1,92
15,1,5,25
73,2,7,63
9,3,-5,8
15,4,-7,16
98,3,3,97
27,3,-7,26
72,1,4,82
88,4,2,89
95,2,-8,85
18,3,-4,17
34,4,3,35
100,3,5,99
21,1,6,31
48,1,1,58
91,4,1,92
68,1,-1,78
44,2,-6,34
26,4,-7,27
95,4,-1,96
74,4,8,75
23,1,3,33
10,3,5,9
12,4,-1,13
92,4,5,93
6,3,8,5
43,2,3,33
21,1,6,31
48,2,3,38
59,3,1,58
11,1,1,21
63,1,2,73
17,2,-3,7
95,4,-1,96
6,3,8,5
62,1,9,72
78,1,1,88
66,4,8,67
52,2,4,42
11,1,1,21
86,4,-2,87
40,1,6,50
81,4,4,82
86,2,-5,76
75,3,0,74
45,1,1,55
64,2,8,54
90,3,2,89
65,3,-10,64
45,3,8,44
83,4,-8,84
74,2,-10,64
86,2,-5,76
32,2,-8,22
10,1,5,20
65,2,1,55
80,1,-3,90
73,4,0,74
20,2,-9,10
33,1,5,43
25,4,-7,26
82,3,-8,81
56,3,1,55
49,2,9,39
3,3,-5,2
15,2,8,5
74,2,-10,64
17,1,-7,27
86,4,-2,87
19,1,-9,29
81,1,-2,91
50,1,6,60
73,1,-1,83
94,3,5,93
56,4,7,57
14,1,-7,24
38,3,-1,37
69,4,-6,70
40,2,-10,30
50,2,-5,40
48,4,-8,49
52,3,7,51
80,2,-6,70
5,3,0,4
73,1,-1,83
21,1,6,31
98,2,1,88
2,4,-10,3
1,1,-8,11
74,3,2,73
94,3,5,93
5,3,0,4
97,2,-2,87
76,3,8,75
55,1,-10,65
33,2,4,23
20,2,-9,10
65,1,8,75
36,1,2,46
77,1,-2,87
47,4,-4,48
30,2,5,20
30,1,-5,40
70,2,6,60
39,1,-8,49
31,4,-8,32
72,3,-8,71
2,3,6,1
90,3,2,89
49,1,1,59
27,1,-1,37
58,2,-4,48
24,4,5,25
85,2,8,75
88,4,2,89
62,3,1,61
67,3,-3,66
5,4,5,6
33,1,5,43
43,2,3,33
40,3,9,39
49,2,9,39
83,2,2,73
4,3,-10,3
51,4,-3,52
44,1,8,54
37,4,3,38
43,1,8,53
83,4,-8,84
35,3,-6,34
93,4,3,94
72,4,2,73
47,4,-4,48
81,4,4,82
87,1,3,97
50,1,6,60
83,3,4,82
46,2,6,36
20,3,5,19
32,1,4,42
55,4,0,56
2,3,6,1
52,2,4,42
28,4,-9,29
50,2,-5,40
48,3,1,47
53,3,-3,52
53,2,5,43
19,2,5,9
38,3,-1,37
73,4,0,74
46,1,0,56
24,3,4,23
56,1,-3,66
18,1,-7,28
81,4,4,82
65,2,1,55
51,4,-3,52
5,1,-2,15
43,3,4,42
8,3,-3,7
26,2,-7,16
64,4,-10,65
23,4,-7,24
55,3,8,54
83,4,-8,84
31,1,2,41
47,1,7,57
85,1,-4,95
92,4,5,93
15,1,5,25
88,3,-2,87
29,3,-7,28
35,3,-6,34
36,1,2,46
92,3,-2,91
52,2,4,42
8,3,-3,7
14,2,0,4
100,3,5,99
100,2,-3,90
38,3,-1,37
73,3,9,72
32,4,3,33
55,1,-10,65
23,1,3,33
91,2,-8,81
98,3,3,97
87,2,5,77
48,3,1,47
2,3,6,1
87,1,3,97
98,2,1,88
29,1,9,39
67,1,5,77
82,3,-8,81
48,1,1,58
15,1,5,25
48,4,-8,49
87,1,3,97
54,4,1,55
99,4,-6,100
56,3,1,55
64,4,-10,65
18,2,-5,8
82,3,-8,81
42,4,5,43
93,2,-1,83
7,3,5,6
55,2,0,45
55,3,8,54
89,2,5,79
94,2,-8,84
12,1,-8,22
74,3,2,73
88,4,2,89
35,2,5,25
37,3,6,36
57,3,0,56
89,3,1,88
52,3,7,51
65,2,1,55
71,2,1,61
49,3,-4,48
93,3,1,92
6,1,-7,16
73,2,7,63
17,3,-7,16
55,1,-10,65
80,2,-6,70
43,3,4,42
44,2,-6,34
12,2,-5,2
13,4,3,14
20,3,5,19
94,3,5,93
71,1,-8,81
65,2,1,55
55,3,8,54
26,2,-7,16
86,2,-5,76
39,1,-8,49
38,4,9,39
63,3,7,62
52,4,8,53
78,2,-4,68
65,4,-3,66
58,3,7,57
61,2,7,51
59,2,-8,49
42,4,5,43
45,1,1,55
24,2,3,14
68,2,1,58
77,1,-2,87
77,4,-1,78
11,4,-1,12
11,1,1,21
33,3,-8,32
93,2,-1,83
24,2,3,14
3,3,-5,2
51,4,-3,52
33,1,5,43
29,2,5,19
73,2,7,63
22,2,-1,12
28,2,4,18
23,3,-8,22
89,3,1,88
80,3,5,79
99,4,-6,100
79,2,3,69
72,1,4,82
58,1,-4,68
13,3,-1,12
26,1,6,36
18,1,-7,28
53,4,8,54
54,3,8,53
63,2,8,53
38,2,-7,28
48,4,-8,49
4,1,3,14
57,1,8,67
79,4,-9,80
53,2,5,43
29,1,9,39
3,4,0,4
6,4,-3,7
11,1,1,21
3,3,-5,2
21,4,-8,22
33,2,4,23
56,3,1,55
89,1,5,99
45,2,3,35
75,4,-5,76
46,1,0,56
42,4,5,43
93,4,3,94
58,3,7,57
80,2,-6,70
3,4,0,4
39,3,3,38
22,2,-1,12
59,1,3,69
89,4,-3,90
95,4,-1,96
39,4,-5,40
82,4,-1,83
35,2,5,25
49,2,9,39
65,4,-3,66
7,4,-5,8
62,2,-3,52
78,1,1,88
52,3,7,51
11,4,-1,12
62,3,1,61
61,1,-8,71
51,1,1,61
28,4,-9,29
87,2,5,77
39,4,-5,40
5,4,5,6
2,4,-10,3
71,2,1,61
12,3,-8,11
44,3,5,43
10,3,5,9
76,3,8,75
53,4,8,54
45,1,1,55
29,1,9,39
90,3,2,89
59,1,3,69
53,3,-3,52
53,3,-3,52
30,2,5,20
12,2,-5,2
36,1,2,46
4,1,3,14
38,3,-1,37
32,2,-8,22
92,3,-2,91
36,4,-1,37
8,1,4,18
73,4,0,74
85,2,8,75
82,1,1,92
32,3,6,31
54,1,-10,64
24,4,5,25
22,2,-1,12
100,3,5,99
52,1,7,62
43,1,8,53
66,4,8,67
93,3,1,92
43,2,3,33
72,2,7,62
47,2,-1,37
84,2,0,74
41,4,4,42
49,1,1,59
95,2,-8,85
25,3,-7,24
22,1,-8,32
53,3,-3,52
86,3,-8,85
12,1,-8,22
21,2,-8,11
89,1,5,99
52,2,4,42
56,4,7,57
20,3,5,19
12,2,-5,2
77,2,8,67
21,1,6,31
20,1,-10,30
49,1,1,59
40,2,-10,30
82,4,-1,83
23,4,-7,24
13,4,3,14
75,4,-5,76
68,4,3,69
51,2,2,41
23,1,3,33
64,1,0,74
81,1,-2,91
51,2,2,41
81,4,4,82
43,4,8,44
58,1,-4,68
60,3,1,59
83,1,5,93
81,2,-8,71
38,1,-4,48
36,4,-1,37
75,3,0,74
37,3,6,36
81,4,4,82
59,4,6,60
58,4,1,59
5,3,0,4
87,1,3,97
89,3,1,88
20,3,5,19
22,2,-1,12
56,1,-3,66
79,4,-9,80
56,4,7,57
88,4,2,89
9,3,-5,8
67,3,-3,66
56,1,-3,66
77,3,-5,76
30,1,-5,40
39,4,-5,40
61,4,7,62
28,2,4,18
30,2,5,20
73,1,-1,83
66,1,-5,76
72,3,-8,71
30,3,-9,29
25,4,-7,26
96,4,3,97
41,4,4,42
41,4,4,42
86,1,-1,96
80,3,5,79
24,2,3,14
59,3,1,58
75,1,-8,85
26,3,5,25
88,3,-2,87
86,2,-5,76
64,2,8,54
52,4,8,53
50,2,-5,40
84,3,-1,83
64,3,7,63
100,3,5,99
42,3,2,41
55,2,0,45
90,2,-9,80
5,4,5,6
54,1,-10,64
32,1,4,42
47,1,7,57
84,4,-8,85
60,2,6,50
42,4,5,43
39,1,-8,49
75,3,0,74
10,1,5,20
3,3,-5,2
48,3,1,47
11,4,-1,12
77,2,8,67
29,1,9,39
55,3,8,54
13,3,-1,12
3,4,0,4
88,1,3,98
19,4,5,20
83,2,2,73
63,1,2,73
56,3,1,55
59,2,-8,49
40,1,6,50
58,2,-4,48
23,3,-8,22
45,2,3,35
34,3,3,33
8,1,4,18
99,4,-6,100
30,3,-9,29
37,1,1,47
65,1,8,75
56,3,1,55
98,3,3,97
9,4,-9,10
58,1,-4,68
73,3,9,72
11,2,6,1
75,3,0,74
66,4,8,67
51,2,2,41
98,3,3,97
36,1,2,46
17,2,-3,7
67,3,-3,66
63,4,-10,64
9,1,5,19
16,3,-2,15
75,1,-8,85
83,1,5,93
25,4,-7,26
76,4,5,77
73,1,-1,83
39,4,-5,40
56,2,2,46
99,2,2,89
3,1,-1,13
76,1,2,86
6,1,-7,16
4,4,8,5
87,3,2,86
27,3,-7,26
5,3,0,4
19,2,5,9
74,2,-10,64
3,1,-1,13
20,3,5,19
15,3,3,14
67,2,7,57
83,1,5,93
93,4,3,94
58,2,-4,48
58,2,-4,48
75,2,-10,65
34,3,3,33
18,1,-7,28
60,1,-6,70
36,3,3,35
73,2,7,63
93,2,-1,83
94,2,-8,84
8,4,5,9
33,3,-8,32
4,1,3,14
28,3,-7,27
24,3,4,23
85,2,8,75
1,1,-8,11
45,1,1,55
68,1,-1,78
74,4,8,75
48,2,3,38
65,2,1,55
66,4,8,67
24,4,5,25
34,4,3,35
43,3,4,42
46,2,6,36
69,2,1,59
96,3,-4,95
67,2,7,57
73,3,9,72
69,2,1,59
59,2,-8,49
79,2,3,69
90,3,2,89
58,1,-4,68
69,1,5,79
7,1,-4,17
63,4,-10,64
47,2,-1,37
92,4,5,93
19,1,-9,29
28,4,-9,29
53,1,7,63
45,4,2,46
12,3,-8,11
80,2,-6,70
47,4,-4,48
42,3,2,41
75,2,-10,65
86,4,-2,87
30,2,5,20
16,2,5,6
59,1,3,69
41,2,6,31
55,3,8,54
90,1,-6,100
75,4,-5,76
37,3,6,36
73,2,7,63
68,1,-1,78
9,3,-5,8
46,1,0,56
41,2,6,31
93,2,-1,83
73,1,-1,83
62,1,9,72
63,4,-10,64
10,1,5,20
36,3,3,35
58,2,-4,48
4,1,3,14
26,3,5,25
18,2,-5,8
95,2,-8,85
93,2,-1,83
25,3,-7,24
42,4,5,43
79,4,-9,80
24,3,4,23
62,3,1,61
63,2,8,53
93,3,1,92
79,2,3,69
4,4,8,5
76,4,5,77
63,3,7,62
78,2,-4,68
22,3,1,21
22,2,-1,12
53,2,5,43
81,1,-2,91
40,3,9,39
28,3,-7,27
9,4,-9,10
12,1,-8,22
32,1,4,42
84,4,-8,85
30,2,5,20
38,1,-4,48
82,2,9,72
64,1,0,74
91,2,-8,81
57,2,1,47
13,1,4,23
94,3,5,93
79,3,-1,78
67,1,5,77
40,1,6,50
60,2,6,50
76,3,8,75
64,2,8,54
16,3,-2,15
26,4,-7,27
57,3,0,56
4,1,3,14
46,4,1,47
39,2,-9,29
49,1,1,59
70,3,3,69
24,3,4,23
97,2,-2,87
4,1,3,14
78,4,5,79
20,1,-10,30
60,2,6,50
7,1,-4,17
34,2,-7,24
96,2,2,86
26,4,-7,27
69,3,-4,68
85,1,-4,95
18,3,-4,17
63,2,8,53
70,3,3,69
43,3,4,42
82,3,-8,81
86,4,-2,87
79,2,3,69
63,4,-10,64
72,2,7,62
95,3,3,94
58,1,-4,68
75,2,-10,65
83,1,5,93
50,2,-5,40
85,2,8,75
79,4,-9,80
48,2,3,38
67,4,-4,68
89,1,5,99
39,1,-8,49
81,4,4,82
27,1,-1,37
68,3,8,67
47,1,7,57
92,3,-2,91
81,2,-8,71
71,4,9,72
63,2,8,53
93,2,-1,83
78,2,-4,68
24,2,3,14
38,1,-4,48
62,3,1,61
34,3,3,33
87,1,3,97
43,2,3,33
48,4,-8,49
66,3,-10,65
52,1,7,62
28,4,-9,29
73,1,-1,83
22,2,-1,12
65,1,8,75
49,1,1,59
70,2,6,60
58,4,1,59
95,4,-1,96
34,4,3,35
69,1,5,79
8,4,5,9
68,2,1,58
78,1,1,88
27,2,-4,17
34,3,3,33
24,4,5,25
12,2,-5,2
19,3,4,18
78,4,5,79
67,3,-3,66
78,4,5,79
68,3,8,67
52,2,4,42
30,1,-5,40
29,2,5,19
62,2,-3,52
23,1,3,33
8,4,5,9
44,1,8,54
77,1,-2,87
81,4,4,82
33,1,5,43
92,3,-2,91
75,1,-8,85
53,2,5,43
41,2,6,31
82,4,-1,83
9,4,-9,10
70,2,6,60
93,2,-1,83
65,2,1,55
78,4,5,79
25,4,-7,26
27,3,-7,26
29,3,-7,28
82,3,-8,81
28,3,-7,27
38,3,-1,37
72,3,-8,71
63,1,2,73
86,1,-1,96
71,1,-8,81
8,1,4,18
1,4,-5,2
85,2,8,75
74,2,-10,64
7,3,5,6
13,2,-10,3
38,1,-4,48
55,4,0,56
44,1,8,54
47,1,7,57
36,4,-1,37
20,3,5,19
5,1,-2,15
4,1,3,14
4,3,-10,3
35,1,0,45
71,4,9,72
12,1,-8,22
58,1,-4,68
87,1,3,97
52,3,7,51
86,2,-5,76
24,3,4,23
17,2,-3,7
80,2,-6,70
98,3,3,97
70,3,3,69
47,1,7,57
20,3,5,19
87,4,1,88
44,1,8,54
96,3,-4,95
60,2,6,50
65,1,8,75
34,4,3,35
37,3,6,36
76,4,5,77
50,2,-5,40
59,1,3,69
45,3,8,44
62,3,1,61
82,3,-8,81
2,3,6,1
19,2,5,9
84,2,0,74
65,4,-3,66
8,4,5,9
27,4,-7,28
95,4,-1,96
32,4,3,33
20,3,5,19
29,4,-10,30
63,3,7,62
89,2,5,79
91,2,-8,81
41,1,7,51
58,1,-4,68
66,3,-10,65
45,4,2,46
32,2,-8,22
65,4,-3,66
64,3,7,63
59,3,1,58
42,3,2,41
45,4,2,46
15,1,5,25
58,4,1,59
63,1,2,73
26,3,5,25
32,3,6,31
95,4,-1,96
79,3,-1,78
45,1,1,55
20,2,-9,10
42,1,-3,52
66,2,0,56
3,3,-5,2
85,3,-8,84
93,3,1,92
5,4,5,6
19,3,4,18
17,2,-3,7
98,2,1,88
90,1,-6,100
33,1,5,43
27,1,-1,37
22,4,4,23
85,3,-8,84
22,3,1,21
45,3,8,44
35,1,0,45
48,3,1,47
57,3,0,56
72,1,4,82
62,2,-3,52
14,4,-2,15
39,4,-5,40
98,3,3,97
22,1,-8,32
23,1,3,33
60,2,6,50
55,2,0,45
52,4,8,53
14,3,-1,13
64,4,-10,65
29,1,9,39
35,3,-6,34
57,1,8,67
79,2,3,69
35,4,6,36
29,1,9,39
89,1,5,99
57,4,1,58
36,1,2,46
47,4,-4,48
38,1,-4,48
77,4,-1,78
48,1,1,58
44,1,8,54
81,4,4,82
66,2,0,56
33,4,-6,34
87,1,3,97
3,3,-5,2
30,1,-5,40
55,1,-10,65
85,1,-4,95
98,3,3,97
78,2,-4,68
11,2,6,1
45,4,2,46
73,4,0,74
32,4,3,33
79,1,2,89
76,1,2,86
38,1,-4,48
29,2,5,19
33,2,4,23
93,3,1,92
33,3,-8,32
7,3,5,6
54,3,8,53
15,3,3,14
77,1,-2,87
3,3,-5,2
85,4,2,86
39,2,-9,29
89,4,-3,90
62,2,-3,52
94,2,-8,84
72,3,-8,71
10,3,5,9
34,3,3,33
17,4,4,18
29,1,9,39
41,2,6,31
58,4,1,59
99,2,2,89
95,2,-8,85
27,4,-7,28
88,4,2,89
78,1,1,88
67,2,7,57
43,1,8,53
97,2,-2,87
85,3,-8,84
20,1,-10,30
25,1,3,35
38,3,-1,37
94,4,-4,95
76,4,5,77
36,4,-1,37
47,1,7,57
82,2,9,72
44,4,0,45
10,3,5,9
40,1,6,50
43,4,8,44
100,3,5,99
8,3,-3,7
32,3,6,31
89,3,1,88
78,1,1,88
25,1,3,35
24,2,3,14
64,2,8,54
25,2,-2,15
89,3,1,88
80,3,5,79
44,1,8,54
24,4,5,25
77,4,-1,78
28,1,3,38
29,2,5,19
96,2,2,86
87,3,2,86
49,1,1,59
48,3,1,47
14,3,-1,13
30,2,5,20
63,2,8,53
95,3,3,94
74,1,-8,84
12,4,-1,13
23,2,-1,13
74,3,2,73
55,4,0,56
35,3,-6,34
83,1,5,93
1,1,-8,11
24,4,5,25
100,2,-3,90
8,1,4,18
28,1,3,38
41,2,6,31
94,3,5,93
82,3,-8,81
62,2,-3,52
86,2,-5,76
14,1,-7,24
96,2,2,86
25,2,-2,15
28,2,4,18
95,4,-1,96
17,4,4,18
67,1,5,77
38,2,-7,28
12,1,-8,22
64,1,0,74
53,2,5,43
65,1,8,75
55,1,-10,65
4,4,8,5
56,2,2,46
84,3,-1,83
36,2,-7,26
88,3,-2,87
6,4,-3,7
79,1,2,89
23,2,-1,13
68,4,3,69
80,2,-6,70
62,1,9,72
78,2,-4,68
3,1,-1,13
54,4,1,55
51,2,2,41
84,3,-1,83
30,2,5,20
41,2,6,31
36,1,2,46
28,4,-9,29
16,4,-4,17
99,3,3,98
39,2,-9,29
19,2,5,9
34,4,3,35
69,4,-6,70
99,3,3,98
14,2,0,4
57,4,1,58
83,4,-8,84
91,2,-8,81
58,4,1,59
47,3,2,46
68,4,3,69
37,4,3,38
77,1,-2,87
10,1,5,20
2,1,-1,12
82,3,-8,81
56,1,-3,66
100,3,5,99
83,1,5,93
79,1,2,89
3,1,-1,13
47,3,2,46
80,2,-6,70
2,3,6,1
71,1,-8,81
65,1,8,75
16,2,5,6
69,1,5,79
87,2,5,77
53,4,8,54
59,1,3,69
94,4,-4,95
35,2,5,25
42,4,5,43
52,4,8,53
7,4,-5,8
59,4,6,60
5,3,0,4
21,1,6,31
95,4,-1,96
55,3,8,54
7,4,-5,8
80,3,5,79
43,4,8,44
77,1,-2,87
39,3,3,38
72,1,4,82
92,4,5,93
56,1,-3,66
16,4,-4,17
16,3,-2,15
62,2,-3,52
29,4,-10,30
62,1,9,72
70,2,6,60
55,1,-10,65
88,1,3,98
44,4,0,45
44,1,8,54
53,2,5,43
35,3,-6,34
13,1,4,23
70,1,-9,80
22,3,1,21
74,4,8,75
63,3,7,62
70,2,6,60
76,1,2,86
87,2,5,77
82,1,1,92
68,4,3,69
59,4,6,60
39,2,-9,29
16,1,-7,26
30,1,-5,40
20,1,-10,30
5,4,5,6
79,1,2,89
90,1,-6,100
47,3,2,46
73,1,-1,83
24,1,-6,34
82,2,9,72
40,1,6,50
63,2,8,53
78,1,1,88
36,1,2,46
89,1,5,99
16,3,-2,15
88,3,-2,87
79,2,3,69
4,1,3,14
12,3,-8,11
41,2,6,31
73,4,0,74
64,4,-10,65
95,4,-1,96
100,3,5,99
88,3,-2,87
43,2,3,33
14,3,-1,13
17,1,-7,27
73,3,9,72
96,3,-4,95
18,1,-7,28
99,4,-6,100
25,1,3,35
65,3,-10,64
95,4,-1,96
68,4,3,69
29,3,-7,28
38,2,-7,28
64,2,8,54
1,4,-5,2
95,2,-8,85
44,2,-6,34
57,4,1,58
61,1,-8,71
85,4,2,86
70,1,-9,80
97,3,-1,96
15,3,3,14
19,2,5,9
46,2,6,36
83,4,-8,84
81,2,-8,71
47,4,-4,48
32,3,6,31
17,1,-7,27
81,2,-8,71
40,1,6,50
91,2,-8,81
66,4,8,67
77,2,8,67
62,3,1,61
18,1,-7,28
8,4,5,9
28,2,4,18
78,2,-4,68
46,3,0,45
75,2,-10,65
99,2,2,89
15,2,8,5
78,2,-4,68
16,2,5,6
91,2,-8,81
4,1,3,14
72,3,-8,71
68,1,-1,78
25,4,-7,26
73,2,7,63
23,4,-7,24
32,3,6,31
15,2,8,5
37,3,6,36
68,2,1,58
84,2,0,74
47,2,-1,37
82,2,9,72
9,4,-9,10
58,2,-4,48
98,4,5,99
61,1,-8,71
12,3,-8,11
99,4,-6,100
41,2,6,31
16,2,5,6
23,2,-1,13
32,1,4,42
22,3,1,21
94,3,5,93
18,4,5,19
31,2,1,21
74,3,2,73
15,1,5,25
24,1,-6,34
53,3,-3,52
13,2,-10,3
29,4,-10,30
23,4,-7,24
39,1,-8,49
53,4,8,54
61,1,-8,71
65,1,8,75
81,2,-8,71
87,4,1,88
35,1,0,45
90,3,2,89
33,3,-8,32
63,1,2,73
40,1,6,50
31,1,2,41
68,3,8,67
49,3,-4,48
16,1,-7,26
37,1,1,47
13,4,3,14
75,4,-5,76
50,3,-8,49
64,4,-10,65
65,2,1,55
83,2,2,73
1,4,-5,2
19,3,4,18
20,1,-10,30
88,1,3,98
22,1,-8,32
1,1,-8,11
89,2,5,79
77,1,-2,87
65,2,1,55
93,2,-1,83
53,3,-3,52
22,3,1,21
49,1,1,59
72,2,7,62
26,4,-7,27
29,1,9,39
91,2,-8,81
72,4,2,73
58,3,7,57
30,3,-9,29
58,4,1,59
82,1,1,92
54,4,1,55
25,1,3,35
57,1,8,67
53,2,5,43
38,1,-4,48
36,3,3,35
91,2,-8,81
88,4,2,89
16,4,-4,17
87,2,5,77
39,4,-5,40
2,3,6,1
86,1,-1,96
25,1,3,35
16,4,-4,17
17,1,-7,27
54,4,1,55
94,4,-4,95
25,1,3,35
64,1,0,74
66,1,-5,76
12,2,-5,2
100,2,-3,90
55,4,0,56
46,3,0,45
89,4,-3,90
49,4,6,50
62,4,7,63
88,2,-1,78
61,2,7,51
67,3,-3,66
21,2,-8,11
36,2,-7,26
74,3,2,73
54,4,1,55
77,1,-2,87
25,3,-7,24
15,1,5,25
86,2,-5,76
9,3,-5,8
25,1,3,35
84,1,3,94
9,3,-5,8
52,3,7,51
62,2,-3,52
63,3,7,62
96,3,-4,95
80,3,5,79
96,4,3,97
43,2,3,33
46,4,1,47
53,2,5,43
25,1,3,35
56,3,1,55
34,4,3,35
11,1,1,21
56,1,-3,66
45,4,2,46
82,3,-8,81
73,3,9,72
51,2,2,41
81,1,-2,91
37,4,3,38
89,3,1,88
49,2,9,39
21,1,6,31
18,3,-4,17
36,2,-7,26
18,3,-4,17
43,4,8,44
9,1,5,19
91,4,1,92
58,1,-4,68
30,2,5,20
76,2,-3,66
92,2,4,82
76,4,5,77
95,3,3,94
17,2,-3,7
33,1,5,43
59,1,3,69
57,4,1,58
96,3,-4,95
70,3,3,69
15,4,-7,16
78,2,-4,68
49,2,9,39
27,4,-7,28
35,2,5,25
24,4,5,25
2,4,-10,3
64,1,0,74
46,2,6,36
10,3,5,9
32,1,4,42
